aggregation;provider;variant;queries;source_datasets;strict_source_hits;strict_source_hit_value;source_hits;source_hit_value;strict_gesis_hits;strict_gesis_hit_value;gesis_hits;gesis_hit_value
query_level;OpenAI;V1;85;85;6 / 85;0.071;9 / 85;0.106;21 / 85;0.247;32 / 85;0.376
query_level;Gemini;V1;85;85;1 / 85;0.012;3 / 85;0.035;18 / 85;0.212;23 / 85;0.271
query_level;OpenAI;V2;250;84;14 / 250;0.056;16 / 250;0.064;54 / 250;0.216;58 / 250;0.232
query_level;Gemini;V2;250;84;6 / 250;0.024;8 / 250;0.032;32 / 250;0.128;41 / 250;0.164
query_level;OpenAI;V3;100;100;36 / 100;0.360;72 / 100;0.720;36 / 100;0.360;72 / 100;0.720
query_level;Gemini;V3;100;100;63 / 100;0.630;78 / 100;0.780;63 / 100;0.630;78 / 100;0.780
query_level;OpenAI;V6;87;87;23 / 87;0.264;30 / 87;0.345;37 / 87;0.425;46 / 87;0.529
query_level;Gemini;V6;87;87;28 / 87;0.322;32 / 87;0.368;37 / 87;0.425;44 / 87;0.506
