aggregation;variant;queries;source_datasets;strict_source_hits;strict_source_hit_value;source_hits;source_hit_value;strict_gesis_hits;strict_gesis_hit_value;gesis_hits;gesis_hit_value
query_level;V1;85;85;7 / 85;0.082;10 / 85;0.118;21 / 85;0.247;33 / 85;0.388
query_level;V2;250;84;14 / 250;0.056;16 / 250;0.064;53 / 250;0.212;57 / 250;0.228
query_level;V6;87;87;23 / 87;0.264;30 / 87;0.345;37 / 87;0.425;46 / 87;0.529
source_dataset_level;V1;85;85;7 / 85;0.082;10 / 85;0.118;21 / 85;0.247;33 / 85;0.388
source_dataset_level;V2;250;84;11 / 84;0.131;13 / 84;0.155;36 / 84;0.429;38 / 84;0.452
source_dataset_level;V6;87;87;23 / 87;0.264;30 / 87;0.345;37 / 87;0.425;46 / 87;0.529
